100	3000
99	45	-19
31	41	-37
68	55	38
39	15	47
50	26	-4
42	55	-20
15	41	-41
66	32	9
52	35	-35
39	44	-37
18	44	35
16	73	3
52	79	-18
60	63	37
6	88	28
13	73	41
99	27	-36
71	92	17
2	56	-31
94	30	-24
40	97	-31
4	56	38
94	92	10
39	27	40
13	79	41
76	49	-11
33	56	40
9	82	-22
17	38	-35
60	72	-3
40	43	8
14	63	19
100	59	-11
77	96	-1
98	35	5
20	88	-41
57	64	-15
98	49	28
41	37	39
50	40	26
29	45	-13
2	55	-28
33	50	6
36	81	10
17	70	-24
16	78	20
17	99	-46
93	92	36
2	77	-28
36	44	30
11	30	34
16	76	46
74	98	-33
74	8	7
62	98	-35
54	96	34
62	73	43
76	63	-1
60	89	-28
76	34	-17
48	29	-45
15	43	49
77	100	12
57	8	39
56	84	-7
18	33	27
60	48	34
61	35	-10
33	84	-4
29	83	30
55	47	12
91	80	3
19	69	-28
54	46	37
50	44	4
72	82	29
17	47	12
1	75	-1
72	16	-11
58	5	-14
48	14	-25
39	84	-10
61	35	-33
68	14	40
58	38	28
46	75	-6
58	79	-1
63	45	-6
68	36	7
50	71	15
53	82	8
33	99	22
77	67	44
93	20	-12
7	23	5
3	85	24
100	61	27
56	19	29
93	37	41
92	75	34
68	57	-38
100	98	-48
50	30	29
70	85	-19
2	97	0
72	80	-47
17	97	-1
51	83	5
91	55	11
42	71	10
63	1	-11
96	94	-22
87	31	44
87	58	3
74	39	-21
46	6	-16
64	94	-35
87	70	42
42	75	-19
59	58	26
47	32	-19
46	50	6
20	25	0
42	15	19
100	99	-33
72	86	4
68	16	2
90	32	4
82	95	38
72	81	38
81	25	-48
34	78	-24
71	61	-5
61	22	27
10	25	-47
26	3	-23
100	86	8
95	61	-49
42	38	32
17	22	-25
54	95	37
33	29	5
53	97	31
59	41	-6
91	26	46
54	45	7
17	14	34
4	5	-22
76	5	7
87	76	20
100	10	-27
9	58	0
60	9	44
48	51	46
4	19	-13
37	32	-36
87	64	-23
64	35	-10
72	12	-33
54	50	45
97	61	-45
14	40	-39
100	52	11
40	83	-38
73	99	-42
68	80	-16
16	5	12
90	34	-7
53	83	-34
60	46	-13
54	32	-44
76	23	26
18	65	12
94	69	-39
48	98	48
64	67	17
70	61	25
31	71	-40
18	77	28
2	79	25
42	71	-48
100	21	11
71	88	1
72	32	39
9	85	8
57	19	-12
68	11	-21
37	69	1
92	47	22
95	47	-49
4	90	12
20	62	25
72	35	-47
18	3	26
20	78	23
14	70	35
2	67	-13
86	22	-27
15	85	-27
42	1	-28
79	66	-1
32	38	-11
49	83	28
64	78	-43
2	84	42
6	83	-23
76	56	-41
64	34	-25
14	47	32
100	78	-38
33	92	-44
54	83	-15
89	28	12
73	70	4
54	32	46
9	78	46
79	25	16
11	28	16
54	26	-22
2	22	-27
14	64	-45
82	71	1
94	38	-21
84	75	20
33	84	-3
61	98	14
96	26	-46
89	64	1
73	31	3
53	23	-22
12	57	36
9	25	-19
53	74	-32
33	82	-48
58	28	-48
75	32	-47
59	20	22
40	31	39
68	32	-14
46	16	9
33	38	42
28	79	-16
63	26	20
74	71	42
89	30	-34
41	1	-28
12	37	-14
17	93	38
54	63	-13
34	92	27
46	92	-49
52	79	49
53	8	44
86	32	-49
61	35	32
70	56	37
54	12	31
100	89	14
97	23	-34
4	71	4
40	96	-34
18	29	44
15	95	19
16	37	-31
11	34	-23
89	6	-36
6	8	44
100	71	43
89	66	-4
60	54	-48
86	81	-36
43	69	-38
40	23	8
18	53	36
64	80	20
7	50	50
76	69	-8
100	24	-18
77	46	-14
24	69	-46
10	37	4
72	63	-29
86	30	-32
4	29	-30
42	36	-47
20	79	29
51	96	-13
42	98	-20
20	14	30
89	94	-24
100	82	16
9	71	-8
74	6	-21
54	29	36
97	80	-20
14	70	20
8	38	-14
23	3	45
9	95	12
11	44	3
77	35	34
74	79	22
10	99	43
22	83	-18
87	98	-18
42	69	-9
37	3	-2
77	54	-44
7	21	-6
31	63	-26
23	56	-39
87	26	22
31	95	-12
63	21	-41
12	22	-35
56	15	-14
91	69	-47
18	73	36
96	44	40
91	5	23
10	65	-45
51	89	-6
90	85	16
46	6	44
18	6	21
28	41	-27
84	37	-11
100	70	16
97	26	41
19	43	38
23	35	28
10	26	-17
56	35	-41
12	1	44
43	49	47
55	8	-41
20	24	26
18	22	-9
3	66	45
62	35	36
36	83	9
39	47	35
55	34	32
46	24	16
24	29	16
18	52	20
4	63	11
71	95	-1
73	34	-19
53	70	-3
17	30	14
96	98	-33
91	32	47
77	97	-2
55	32	-39
46	3	-34
99	69	-42
78	32	7
21	35	-31
96	32	10
98	27	16
73	97	-5
12	47	2
14	55	46
7	37	-45
11	32	-14
13	64	48
91	26	43
90	99	-10
77	81	24
53	71	23
97	63	0
53	64	-34
62	56	-40
12	98	-25
13	74	24
10	30	-44
54	23	36
24	47	-46
36	34	28
91	26	22
87	51	-43
13	70	-1
68	23	-17
16	23	42
13	27	36
52	92	40
77	86	-38
77	1	47
70	27	-42
58	35	35
14	3	41
87	23	-14
52	14	-43
59	58	15
25	3	-4
76	8	1
4	45	11
7	97	33
86	31	27
47	85	39
70	43	36
13	25	-42
65	45	0
41	75	3
74	48	-12
93	32	0
46	51	-20
77	34	-48
36	76	-39
41	75	-8
33	19	49
91	84	-33
55	63	30
65	22	-24
87	63	5
11	95	-19
100	99	14
84	3	14
90	15	-36
2	71	27
53	92	-46
11	83	-37
16	12	6
9	10	-40
50	64	9
54	27	49
53	65	-5
68	99	-33
7	89	-24
2	36	-29
10	29	30
11	76	-20
39	38	-36
53	97	-44
40	71	41
91	98	-18
25	22	-29
10	80	-45
18	67	-3
33	8	-17
10	56	-23
24	35	-30
10	58	-18
76	71	19
76	30	-28
52	32	-10
81	83	0
93	84	42
5	85	13
57	96	-33
100	57	34
84	49	-21
34	19	-31
4	12	-46
18	2	6
40	81	8
68	14	-45
64	94	-13
52	66	-10
47	75	33
28	31	-43
100	71	-4
42	24	-25
48	91	-6
92	49	-49
42	80	-18
90	70	42
7	24	-34
51	20	25
36	25	-47
54	51	11
74	41	-15
13	71	15
62	56	28
12	56	-19
87	33	2
17	6	-42
40	66	15
34	88	-11
54	62	19
52	99	25
4	31	-33
67	30	46
60	27	16
2	68	-37
54	62	3
67	38	43
60	12	-30
97	3	40
12	85	-37
44	3	-49
16	88	47
87	94	45
72	47	-26
50	40	-36
52	50	43
30	45	9
10	49	-27
86	73	-23
87	14	-15
42	86	22
93	32	24
56	47	5
78	75	-33
46	63	-37
18	31	-7
29	67	35
87	51	2
50	30	-24
7	40	-38
18	89	13
99	19	6
26	49	-30
50	6	23
88	37	-16
50	98	25
30	45	-10
52	94	-47
15	21	-7
4	98	4
93	81	20
52	36	11
87	17	-34
32	38	18
59	79	42
88	75	31
86	88	29
77	64	27
41	35	18
17	80	45
86	36	12
8	80	33
78	49	46
39	8	-1
92	32	-15
65	83	17
56	38	-1
36	66	-14
17	22	-20
58	70	-10
87	13	36
77	19	17
16	48	-36
71	23	12
74	49	49
33	75	20
74	47	-48
72	88	9
1	3	49
78	32	-41
40	65	18
17	76	-26
74	91	-1
84	49	-37
53	19	-40
48	56	-42
16	24	-3
50	24	39
99	75	28
7	69	40
51	79	-35
89	91	4
59	47	-33
52	79	-6
40	38	-10
60	83	-44
81	22	40
53	35	-30
55	96	20
9	44	40
58	67	-20
2	60	31
98	30	-40
88	69	-47
68	25	3
18	74	30
2	25	30
39	78	-11
49	75	-42
54	92	-37
54	26	27
57	69	37
44	98	-30
96	35	33
7	18	29
18	99	-14
74	30	-15
46	26	-38
50	78	22
72	51	-21
51	24	8
86	70	-34
60	75	-47
8	69	7
71	61	27
54	11	-38
73	55	16
19	35	39
41	38	15
2	100	-9
94	92	-3
53	67	-29
16	99	7
58	55	45
20	97	25
59	14	-17
91	70	38
16	19	45
77	90	25
7	26	11
57	45	-26
46	19	16
9	27	-49
82	79	25
4	89	38
81	30	21
29	92	-40
20	38	49
62	64	-17
46	43	-48
73	71	-34
42	19	22
33	38	5
81	3	50
51	27	-44
60	100	12
25	98	7
13	67	48
36	55	-43
95	27	25
72	14	-4
37	45	33
77	22	1
26	67	4
72	79	-25
11	82	24
44	37	-15
17	46	-1
10	71	6
71	47	-46
99	21	-38
9	83	15
8	85	-47
12	32	17
46	23	19
40	81	-33
71	19	49
64	31	5
26	45	-12
94	75	46
21	27	-25
12	40	20
17	91	-9
72	23	30
13	66	-11
54	14	-43
71	21	-18
53	5	-38
42	44	-32
42	25	-38
97	83	10
20	95	42
11	70	41
48	93	22
5	85	4
20	40	14
23	80	15
76	83	-24
81	15	-12
64	3	33
37	98	40
17	75	-2
48	76	-1
29	5	11
11	84	-10
61	5	-25
7	65	-6
68	5	-17
36	85	33
96	99	21
70	38	-25
93	44	29
48	50	-24
96	25	-10
54	10	4
20	12	22
60	69	22
96	84	-45
59	48	-44
64	25	-23
50	36	45
7	21	-3
99	84	-39
94	66	8
51	89	35
53	56	-25
77	55	-36
24	65	-18
76	32	-18
74	21	8
61	80	47
60	100	35
46	51	-33
34	8	-9
49	45	46
41	32	16
72	58	5
17	43	6
71	67	-36
77	61	-45
74	1	6
60	55	-36
89	44	49
77	6	4
52	84	-13
4	34	-26
12	95	43
9	16	41
46	78	-23
54	61	12
48	75	42
100	17	28
56	66	-37
53	37	24
70	63	19
96	84	0
14	1	-39
58	27	-25
60	57	33
48	93	-36
46	95	-28
40	98	39
59	28	33
58	82	-47
17	6	-20
60	48	38
29	21	-1
73	41	-35
39	81	-39
48	95	-19
40	5	28
90	36	41
79	98	-33
26	66	-48
48	36	-40
17	40	17
90	45	2
52	38	-50
60	70	-8
73	67	49
18	31	-36
82	34	32
7	5	32
53	81	31
29	82	-25
21	35	-3
99	45	-8
31	79	-8
89	39	-39
28	26	-31
88	83	-19
34	26	-6
4	36	-32
76	41	32
39	63	11
87	80	-46
64	32	36
52	81	-18
99	79	-4
59	78	5
79	67	-28
82	65	44
60	92	-4
78	67	24
54	92	-28
61	47	39
71	47	50
99	85	36
60	45	-39
36	98	-28
20	1	10
91	47	37
17	75	9
10	57	0
4	81	49
6	15	47
12	96	41
15	83	8
81	32	-18
72	51	23
23	92	-20
6	44	-1
77	37	12
39	8	-36
94	98	-44
73	56	-14
42	22	32
68	26	37
2	29	45
12	97	-35
72	56	-15
19	69	41
68	3	-38
26	32	23
59	94	26
54	83	35
72	19	50
4	100	13
52	57	-28
90	71	22
93	92	23
2	48	43
25	35	-46
19	49	-35
100	51	14
44	47	19
89	64	-9
74	99	17
39	45	-22
16	35	16
91	29	8
74	90	-47
37	83	-44
79	92	-22
42	65	2
86	69	47
50	56	1
14	80	23
13	23	-9
11	12	-38
54	99	40
62	61	34
19	3	22
44	80	26
52	1	-30
86	43	-9
13	89	22
14	83	-8
24	29	30
16	83	41
46	55	-50
54	36	-3
72	34	-24
4	40	-10
84	66	41
60	30	-25
10	96	-4
87	20	15
36	28	-37
91	39	35
67	43	-34
42	50	-29
59	63	-7
54	50	24
